i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s,size,profiler,phase,variant
28,1777.3232973655329,1.4760985500685826,0.0,477.3501424755878,0.5169209170016984,100,mac,phase-17,with
29,1788.980811426612,1.4857803224441937,0.0,480.4810956376916,0.5203114159994584,100,mac,phase-17,with
0,1691.7368270144957,0.9352332949595424,0.0,471.9254008744063,0.5151577079996059,100,mac,phase-10,with
1,1685.467002283447,0.9317671832402716,0.0,470.1763761429213,0.5132484579989978,100,mac,phase-10,with
2,1691.7194485071643,0.935223687697696,0.0,471.9205529814552,0.5151524159991823,100,mac,phase-10,with
3,1689.084378366222,0.933766956786002,0.0,471.1854761581936,0.5143500000012864,100,mac,phase-10,with
4,1693.5933387749658,0.9362596198483492,0.0,472.4432917441903,0.515723041997262,100,mac,phase-10,with
5,1693.8493466310365,0.9364011472224332,0.0,472.51470746806285,0.5158009999977367,100,mac,phase-10,with
6,1686.4976048238766,0.9323369254095548,0.0,470.46387211112864,0.5135622909983795,100,mac,phase-10,with
7,1686.1255662267406,0.932131253417614,0.0,470.3600885549096,0.5134490000018559,100,mac,phase-10,with
8,1688.5101028010365,0.933449483275662,0.0,471.02527675720825,0.5141751249975641,100,mac,phase-10,with
9,1699.7612240655442,0.9396693769637156,0.0,474.1638795400121,0.5176012500014622,100,mac,phase-10,with
10,1691.2235798348315,0.9349495594261542,0.0,471.78222589757615,0.5150014169994392,100,mac,phase-10,with
11,1692.366929218863,0.9355816307948464,0.0,472.1011736250137,0.5153495830018073,100,mac,phase-10,with
12,1689.6277292335435,0.9340673343706531,0.0,471.33704883296286,0.5145154579986411,100,mac,phase-10,with
13,1697.3383739763035,0.9383299664620526,0.0,473.488003433655,0.5168634580004436,100,mac,phase-10,with
14,1690.1056775619145,0.9343315558398706,0.0,471.47037687362615,0.5146610000010696,100,mac,phase-10,with
15,1694.925927355849,0.9369963072511552,0.0,472.8150294696991,0.516128834002302,100,mac,phase-10,with
16,1671.365031052581,0.923971270300939,0.0,466.2425027886417,0.5089542089990573,100,mac,phase-10,with
17,1680.0397756608247,0.9287668802642322,0.0,468.66240183047626,0.511595790998399,100,mac,phase-10,with
18,1690.4551425000311,0.9345247485636612,0.0,471.5678633019989,0.5147674170002574,100,mac,phase-10,with
19,1684.268371406136,0.9311045509165394,0.0,469.84200713927805,0.5128834580027615,100,mac,phase-10,with
20,1696.6806343047017,0.937966351962164,0.0,473.3045209597648,0.5166631669999333,100,mac,phase-10,with
21,1684.1537067494985,0.931041161503405,0.0,469.81002038862886,0.5128485409986752,100,mac,phase-10,with
22,1680.6578390184325,0.9291085607320204,0.0,468.8348162350971,0.5117840000020806,100,mac,phase-10,with
23,1706.13640679922,0.9431937331512598,0.0,475.9422948462196,0.519542582998838,100,mac,phase-10,with
24,1681.7093765545292,0.9296898762764678,0.0,469.12815221107905,0.512104208002711,100,mac,phase-10,with
25,1690.4400890135123,0.9345164266299107,0.0,471.56366399478605,0.5147628330014413,100,mac,phase-10,with
26,1678.572411723223,0.927955685763791,0.0,468.2530672913072,0.5111489579976478,100,mac,phase-10,with
27,1680.5958550177454,0.929074294467746,0.0,468.81752523338514,0.5117651250002382,100,mac,phase-10,with
28,1682.6264145623704,0.930196837207968,0.0,469.3839683182635,0.5123834590012848,100,mac,phase-10,with
29,1679.3658889613605,0.9283943392943216,0.0,468.4744149960525,0.5113905830003205,100,mac,phase-10,with
0,1706.4500436920816,0.9036096252071272,0.0,472.01889458967855,0.5143917909990705,100,mac,phase-11,with
1,1697.4471386744074,0.8988423531390889,0.0,469.5286129138411,0.5116779580021102,100,mac,phase-11,with
2,1698.5476904483628,0.8994251238915413,0.0,469.83303508764067,0.5120097079998231,100,mac,phase-11,with
3,1697.45142476899,0.8988446227375068,0.0,469.5297984848072,0.5116792500011798,100,mac,phase-11,with
4,1707.4593666243693,0.9041440879181388,0.0,472.2980820739788,0.5146960410020256,100,mac,phase-11,with
5,1698.7275240872289,0.8995203504747137,0.0,469.8827786331616,0.5120639169981587,100,mac,phase-11,with
6,1700.7659350798535,0.9005997420454617,0.0,470.4466208077478,0.5126783749983588,100,mac,phase-11,with
7,1699.2646663495962,0.8998047812555472,0.0,470.0313568454903,0.5122258330011391,100,mac,phase-11,with
8,1695.6890490713502,0.8979113990257988,0.0,469.0423100688839,0.5111479999977746,100,mac,phase-11,with
9,1692.1716258741417,0.8960488320736202,0.0,468.0693602802348,0.5100877090007998,100,mac,phase-11,with
10,1697.74985592254,0.8990026497854161,0.0,469.61234713235217,0.511769208998885,100,mac,phase-11,with
11,1707.8936757090762,0.9043740658601866,0.0,472.41821573674343,0.5148269590026757,100,mac,phase-11,with
12,1698.868789500558,0.8995951541806089,0.0,469.9218538727151,0.512106500002119,100,mac,phase-11,with
13,1699.6750602015395,0.9000220954606203,0.0,470.1448753472811,0.512349542001175,100,mac,phase-11,with
14,1701.1311258658325,0.9007931200529032,0.0,470.54763574911647,0.5127884579997044,100,mac,phase-11,with
15,1700.9127306150654,0.9006774740945451,0.0,470.4872257270172,0.5127226250006061,100,mac,phase-11,with
16,1699.4681365554409,0.8999125240149229,0.0,470.0876384706101,0.5122871669991582,100,mac,phase-11,with
17,1691.921847883786,0.8959165681394461,0.0,468.0002695199536,0.5100124159980624,100,mac,phase-11,with
18,1696.87170682815,0.898537647028968,0.0,469.36944347024314,0.5115044999984093,100,mac,phase-11,with
19,1696.5682995533305,0.8983769849955858,0.0,469.2855183843608,0.5114130410001962,100,mac,phase-11,with
20,1693.8811982918032,0.8969540950769516,0.0,468.5422428505676,0.5106030419992749,100,mac,phase-11,with
21,1698.0709516558488,0.8991726783170472,0.0,469.7011649993938,0.5118660000007367,100,mac,phase-11,with
22,1695.0753276653402,0.897586417599172,0.0,468.8725494006934,0.5109630000006291,100,mac,phase-11,with
23,1723.2436212518203,0.912502260758186,0.0,476.6641439160539,0.5194540419979603,100,mac,phase-11,with
24,1692.876848173967,0.8964222656003669,0.0,468.26443088991016,0.5103002910000214,100,mac,phase-11,with
25,1699.7398857679125,0.9000564222819358,0.0,470.16280666164533,0.5123690830005216,100,mac,phase-11,with
26,1704.6099874632089,0.902635267636287,0.0,471.5099190645256,0.5138371249995544,100,mac,phase-11,with
27,1696.3920653012462,0.8982836643812125,0.0,469.2367704604675,0.5113599169999361,100,mac,phase-11,with
28,1701.2077050215437,0.9008336707050868,0.0,470.56881820831654,0.5128115419975074,100,mac,phase-11,with
29,1698.8667161016097,0.8995940562620067,0.0,469.92128035256826,0.5121058749973599,100,mac,phase-11,with
0,1697.203423819641,0.4319175559316277,0.0,469.49438329767935,0.5124109589996806,100,mac,phase-29,with
1,1702.970913758122,0.433385311725145,0.0,471.08983384523265,0.5141522500016436,100,mac,phase-29,with
2,1698.55258888602,0.4322609019736166,0.0,469.8676004453214,0.5128182920016116,100,mac,phase-29,with
3,1752.3333375660038,0.4459474460849607,0.0,484.74487389435234,0.529055499999231,100,mac,phase-29,with
4,1703.0665532922224,0.4334096508192332,0.0,471.1162904405065,0.5141811249995953,100,mac,phase-29,with
5,1704.3090392776437,0.4337258483372035,0.0,471.45999714254026,0.5145562500001688,100,mac,phase-29,with
6,1696.1240599722423,0.4316428710067762,0.0,469.19580078436576,0.5120850829989649,100,mac,phase-29,with
7,1698.2136390256214,0.4321746433712405,0.0,469.7738373445384,0.5127159579969884,100,mac,phase-29,with
8,1701.9096344739723,0.4331152291009071,0.0,470.7962540326861,0.5138318339995749,100,mac,phase-29,with
9,1700.1262940522838,0.4326613907303739,0.0,470.30293172391646,0.5132934169996588,100,mac,phase-29,with
10,1697.9362429631724,0.4321040494591398,0.0,469.697101762085,0.5126322079995589,100,mac,phase-29,with
11,1705.7160285840569,0.4340839099425002,0.0,471.84921010749775,0.5149810410002829,100,mac,phase-29,with
12,1727.832226093905,0.4397122122667182,0.0,477.9671747339228,0.5216582499997457,100,mac,phase-29,with
13,1703.6167911667892,0.4335496796423127,0.0,471.26850177119394,0.5143472499985364,100,mac,phase-29,with
